season,abv,conference,division,w,l,games,win_pct,overall_rank,conf_rank,bench_mp,bench_players,bench_per_wmean,bench_per_mean,bench_ts_percent_wmean,bench_ts_percent_mean,bench_obpm_wmean,bench_obpm_mean,bench_dbpm_wmean,bench_dbpm_mean,bench_usg_percent_wmean,bench_usg_percent_mean,bench_a2t_perc_wmean,bench_a2t_perc_mean
2000,CHH,Eastern,Central,49,33,82,0.6,5.0,3.0,1065.0,2,12.256338028169013,9.4,0.5064788732394366,0.49,-1.0690140845070422,-2.25,-0.06056338028169014,-0.5,20.416901408450705,18.0,1.4133802816901408,1.125
2000,CHI,Eastern,Central,17,65,82,0.21,17.0,10.0,1534.0,3,11.052346805736637,11.033333333333331,0.49097783572359843,0.49,-1.922425032594524,-2.0,-1.2679921773142113,-1.2333333333333332,20.22457627118644,20.333333333333332,1.4508018252933508,1.3866666666666667
2000,CLE,Eastern,Central,32,50,82,0.39,12.0,7.0,253.0,1,19.2,19.2,0.54,0.54,3.4,3.4,0.0,0.0,23.9,23.9,2.57,2.57
2000,DAL,Western,Midwest,40,42,82,0.49,9.0,3.0,889.0,2,13.66771653543307,12.75,0.48999999999999994,0.49,-0.6047244094488189,-1.2,-2.0015748031496066,-2.2,21.743307086614177,20.9,1.811732283464567,1.4
2000,DEN,Western,Midwest,35,47,82,0.43,10.0,4.0,329.0,1,8.8,8.8,0.38,0.38,-4.1,-4.1,1.8,1.8,18.0,18.0,2.0,2.0
2000,DET,Eastern,Central,42,40,82,0.51,6.0,4.0,488.0,1,19.6,19.6,0.67,0.67,0.3,0.3,0.5,0.5,17.4,17.4,0.75,0.75
2000,GSW,Western,Pacific,19,63,82,0.23,16.0,7.0,2619.0,7,9.69614356624666,9.414285714285715,0.448491790759832,0.45,-3.7875143184421534,-3.842857142857142,-1.0604429171439482,-1.0,17.864299350897287,17.457142857142856,1.2651584574264987,1.3585714285714285
2000,HOU,Western,Midwest,34,48,82,0.41,11.0,5.0,273.0,1,11.4,11.4,0.46,0.46,-3.5,-3.5,-0.5,-0.5,18.8,18.8,0.54,0.54
2000,LAC,Western,Pacific,15,67,82,0.18,18.0,8.0,944.0,2,11.616207627118644,11.55,0.49675847457627126,0.51,-1.9426906779661017,-1.85,-1.8853813559322032,-1.7,13.973940677966102,13.1,2.5826165254237288,2.335
2000,LAL,Western,Pacific,67,15,82,0.82,1.0,1.0,185.0,1,2.7,2.7,0.39,0.39,-7.7,-7.7,0.1,0.1,15.1,15.1,1.3,1.3
2000,MIA,Eastern,Atlantic,52,30,82,0.63,3.0,1.0,567.0,1,7.1,7.1,0.51,0.51,-2.7,-2.7,0.6,0.6,12.2,12.2,1.4,1.4
2000,MIL,Eastern,Central,42,40,82,0.51,6.0,4.0,933.0,3,8.763022508038585,9.1,0.45508038585209,0.4633333333333333,-1.7755627009646302,-1.6000000000000003,-2.138370846730975,-2.066666666666667,15.252625937834942,15.199999999999998,2.01620578778135,2.0933333333333333
2000,NJN,Eastern,Atlantic,31,51,82,0.38,13.0,8.0,551.0,2,14.170235934664246,14.0,0.5636479128856625,0.56,-0.20744101633393827,-0.25,0.1560798548094374,0.15000000000000002,12.578221415607986,11.8,1.894337568058076,1.96
2000,NYK,Eastern,Atlantic,50,32,82,0.61,4.0,2.0,244.0,1,10.3,10.3,0.44,0.44,-2.8,-2.8,1.5,1.5,14.0,14.0,0.67,0.67
2000,ORL,Eastern,Atlantic,41,41,82,0.5,8.0,6.0,399.0,2,9.270927318295739,9.3,0.4600000000000001,0.46,-3.0145363408521306,-3.0,0.7463659147869673,0.75,15.634586466165416,15.700000000000001,1.33734335839599,1.305
2000,SAS,Western,Midwest,53,29,82,0.65,2.0,2.0,391.0,1,8.8,8.8,0.48000000000000004,0.48,-2.8,-2.8,0.2,0.2,16.4,16.4,1.5,1.5
