season,team,playoffs,per,obpm,dbpm,team_win_perc,rank
2000,DET,1.0,13.25,-0.75,-0.65,0.51,15.0
2000,MIL,1.0,11.38,-1.75,-0.52,0.51,16.0
2000,ORL,0.0,14.15,-1.07,-0.52,0.5,17.0
2000,DAL,0.0,13.62,-0.2,-1.15,0.49,18.0
2000,BOS,0.0,13.76,-0.76,-0.8,0.43,19.0
2000,DEN,0.0,15.0,-0.25,-0.05,0.43,20.0
2000,HOU,0.0,14.33,-0.23,-0.43,0.41,21.0
2000,CLE,0.0,12.08,-1.16,-0.1,0.39,22.0
2000,NJN,0.0,13.35,-0.43,-0.45,0.38,23.0
2000,WAS,0.0,13.77,-0.28,-0.65,0.3499999999999999,24.0
2000,ATL,0.0,12.7,-1.85,-1.08,0.34,25.0
2000,VAN,0.0,9.9,-2.17,-0.47,0.27,26.0
2000,GSW,0.0,14.3,-0.9,-0.2,0.23,27.0
2000,CHI,0.0,9.9,-2.64,-0.58,0.21000000000000002,28.0
2000,LAC,0.0,12.47,-1.6,-0.47,0.18000000000000002,29.0
2001,HOU,0.0,13.2,-0.04,-0.16,0.55,15.0
2001,SEA,0.0,14.96,0.42,-0.64,0.54,16.0
2001,ORL,1.0,9.57,-3.57,-0.9,0.52,17.0
2001,IND,1.0,12.4,-1.6,0.36,0.5,18.0
2001,DEN,0.0,13.2,-1.8,-0.68,0.49,19.0
2001,BOS,0.0,11.7,-2.03,-0.9,0.44,20.0
2001,DET,0.0,12.18,-1.98,0.02,0.39,21.0
2001,LAC,0.0,14.68,-0.07,-0.38,0.38000000000000006,22.0
2001,CLE,0.0,11.4,-2.4,-0.4,0.37,23.0
2001,NJN,0.0,12.67,-1.6,-0.93,0.32,24.0
2001,ATL,0.0,10.5,-1.92,-0.04,0.3,25.0
2001,VAN,0.0,11.08,-2.68,-0.04,0.28,26.0
2001,WAS,0.0,11.2,-1.65,-0.32,0.23,27.0
2001,GSW,0.0,12.35,-2.0,-1.3,0.21,28.0
2001,CHI,0.0,10.42,-2.44,-1.62,0.18,29.0
2002,IND,1.0,13.22,-0.95,-0.05,0.51,15.0
2002,TOR,1.0,13.3,-1.35,0.03,0.51,16.0
2002,MIL,0.0,12.85,-0.9,-0.8,0.5,17.0
2002,LAC,0.0,15.9,1.0,0.4,0.48,18.0
2002,WAS,0.0,12.8,-0.75,-0.22,0.45,19.0
2002,MIA,0.0,10.86,-2.52,0.34,0.44000000000000006,20.0
2002,PHO,0.0,13.85,0.05,0.88,0.44,21.0
2002,ATL,0.0,12.25,-1.6,-0.78,0.4,22.0
2002,NYK,0.0,11.0,-2.33,0.38,0.37,23.0
2002,CLE,0.0,13.32,-1.68,-0.86,0.35,24.0
2002,HOU,0.0,12.78,-1.28,-1.18,0.34,25.0
2002,DEN,0.0,12.64,-1.61,-0.97,0.33,26.0
2002,MEM,0.0,13.4,-2.5,-0.22,0.28,27.0
2002,CHI,0.0,13.0,-2.18,-0.78,0.26,28.0
2002,GSW,0.0,12.28,-1.42,-0.38,0.26,29.0
2003,HOU,0.0,12.68,-1.42,-0.15,0.52,15.0
2003,MIL,1.0,14.48,0.26,-0.72,0.51,16.0
2003,ORL,1.0,12.95,-1.65,0.2,0.51,17.0
2003,SEA,0.0,14.05,-1.88,0.52,0.49,18.0
2003,GSW,0.0,14.9,0.45,-0.45,0.46,19.0
2003,NYK,0.0,14.6,0.33,0.3,0.45,20.0
2003,WAS,0.0,11.65,-1.95,-0.32,0.45,21.0
2003,ATL,0.0,12.1,-1.7,-1.2,0.43,22.0
2003,CHI,0.0,13.6,-0.62,-0.23,0.37,23.0
2003,MEM,0.0,14.0,-1.78,0.23,0.34,24.0
2003,LAC,0.0,12.62,-0.75,-0.68,0.33,25.0
2003,MIA,0.0,11.75,-1.72,-0.18,0.3,26.0
2003,TOR,0.0,13.5,-1.12,-1.18,0.29,27.0
2003,DEN,0.0,10.16,-3.54,0.06,0.21000000000000002,28.0
2003,CLE,0.0,12.27,-2.0,-1.3,0.21,29.0
2004,NOH,1.0,12.8,-0.9,0.7,0.5,15.0
2004,POR,0.0,14.7,0.2,0.0,0.5,16.0
2004,NYK,1.0,11.85,-1.48,0.15,0.48,17.0
2004,GSW,0.0,15.77,-0.13,0.8,0.45,18.0
2004,SEA,0.0,14.01,-0.69,-0.69,0.45,19.0
2004,BOS,1.0,13.18,-1.4,-0.2,0.44,20.0
2004,CLE,0.0,10.87,-2.03,-0.37,0.43,21.0
2004,PHI,0.0,10.6,-1.7,0.9,0.4,22.0
2004,TOR,0.0,8.0,-4.1,0.42,0.4,23.0
2004,PHO,0.0,11.33,-1.03,-0.83,0.3499999999999999,24.0
2004,ATL,0.0,11.96,-1.6,-1.04,0.34,25.0
2004,LAC,0.0,11.5,-1.61,-1.11,0.34,26.0
2004,WAS,0.0,12.7,-1.87,0.12,0.3,27.0
2004,CHI,0.0,11.97,-2.83,0.05,0.28,28.0
2004,ORL,0.0,14.13,-0.27,-1.9,0.26,29.0
2005,PHI,1.0,11.6,-2.12,0.16,0.52,16.0
2005,CLE,0.0,11.75,-2.33,0.12,0.51,17.0
2005,NJN,1.0,10.32,-2.82,0.18,0.51,18.0
2005,LAC,0.0,12.16,-1.88,-0.12,0.45,19.0
2005,ORL,0.0,12.1,-1.2,-0.85,0.44,20.0
2005,GSW,0.0,11.48,-2.1,-0.18,0.41,21.0
2005,LAL,0.0,12.4,-0.57,-1.0,0.41,22.0
2005,TOR,0.0,15.7,1.03,-0.43,0.4000000000000001,23.0
2005,NYK,0.0,12.98,-1.6,-0.37,0.4,24.0
2005,MIL,0.0,12.93,-0.82,-0.28,0.36999999999999994,25.0
2005,POR,0.0,11.4,-3.27,-0.43,0.33,26.0
2005,UTA,0.0,13.7,-0.17,-0.97,0.32,27.0
2005,CHA,0.0,11.84,-1.62,-0.86,0.22000000000000003,28.0
2005,NOH,0.0,12.38,-2.04,0.0,0.22000000000000003,29.0
2005,ATL,0.0,12.6,-1.17,-1.33,0.16,30.0
2006,UTA,0.0,11.28,-2.15,-0.92,0.5,16.0
2006,MIL,1.0,14.42,-0.1,-0.12,0.49,17.0
2006,NOK,0.0,13.18,-1.3,-0.14,0.4600000000000001,18.0
2006,PHI,0.0,9.25,-3.05,-0.1,0.46,19.0
2006,ORL,0.0,12.67,-1.53,0.17,0.44,20.0
2006,SEA,0.0,12.82,-1.06,-1.9,0.43,21.0
2006,GSW,0.0,11.97,-1.47,-0.03,0.41,22.0
2006,HOU,0.0,12.9,-2.05,0.6,0.41,23.0
2006,BOS,0.0,11.83,-3.3,0.63,0.4000000000000001,24.0
2006,MIN,0.0,11.7,-2.12,-0.32,0.4,25.0
2006,TOR,0.0,13.04,-0.4,-1.44,0.33,26.0
2006,ATL,0.0,14.0,0.18,-1.58,0.32,27.0
2006,CHA,0.0,12.33,-1.97,-0.23,0.32,28.0
2006,NYK,0.0,12.86,-0.91,-0.62,0.28,29.0
2006,POR,0.0,13.17,-1.07,-1.1,0.26,30.0
2007,ORL,1.0,12.94,-1.06,0.58,0.49000000000000005,16.0
2007,LAC,0.0,16.1,0.85,-0.25,0.49,17.0
2007,NOK,0.0,12.8,-0.82,-0.4,0.48,18.0
2007,IND,0.0,13.2,-0.6,-0.37,0.43,19.0
2007,PHI,0.0,11.75,-1.75,-0.98,0.43,20.0
2007,NYK,0.0,17.17,1.1,0.67,0.4000000000000001,21.0
2007,SAC,0.0,12.37,-1.7,-0.17,0.4000000000000001,22.0
2007,CHA,0.0,12.7,-0.82,-1.18,0.4,23.0
2007,MIN,0.0,11.46,-2.1,-0.22,0.39,24.0
2007,POR,0.0,13.0,-1.34,-0.72,0.39,25.0
2007,SEA,0.0,12.0,-1.42,-0.58,0.38,26.0
2007,ATL,0.0,12.12,-1.4,-0.94,0.37,27.0
2007,MIL,0.0,11.5,-2.17,-1.5,0.34,28.0
2007,BOS,0.0,10.06,-2.1,-0.34,0.29,29.0
2007,MEM,0.0,13.52,-1.2,-1.16,0.27,30.0
2008,TOR,1.0,12.2,-0.95,-0.2,0.5,16.0
2008,PHI,1.0,16.6,0.75,0.2,0.49,17.0
2008,SAC,0.0,15.1,0.7,0.1,0.46,18.0
2008,ATL,1.0,12.3,-1.33,-0.95,0.45,19.0
2008,IND,0.0,11.27,-1.5,-0.5,0.44,20.0
2008,NJN,0.0,11.14,-2.24,-0.36,0.41,21.0
2008,CHI,0.0,13.77,-0.88,0.28,0.4000000000000001,22.0
2008,CHA,0.0,11.4,-1.96,-1.06,0.39,23.0
2008,MIL,0.0,11.23,-1.75,-1.45,0.32,24.0
2008,LAC,0.0,11.85,-2.02,-1.05,0.28,25.0
2008,NYK,0.0,12.76,-1.12,-0.7,0.28,26.0
2008,MEM,0.0,12.74,-2.04,-0.6,0.27,27.0
2008,MIN,0.0,11.64,-1.8,-0.72,0.27,28.0
2008,SEA,0.0,12.18,-1.93,-0.4,0.24,29.0
2008,MIA,0.0,10.37,-2.87,-1.47,0.18000000000000002,30.0
2009,PHI,1.0,17.1,0.2,-0.65,0.5,16.0
2009,DET,1.0,13.77,-1.1,0.13,0.48,17.0
2009,IND,0.0,12.03,-1.53,0.07,0.44,18.0
2009,CHA,0.0,10.3,-1.23,-0.7,0.43,19.0
2009,MIL,0.0,12.57,-1.1,0.27,0.41,20.0
2009,NJN,0.0,12.82,-0.75,-0.65,0.41,21.0
2009,TOR,0.0,10.4,-2.25,-1.15,0.4,22.0
2009,NYK,0.0,16.15,1.3,0.0,0.39,23.0
2009,GSW,0.0,15.44,-0.32,-0.46,0.35,24.0
2009,MEM,0.0,12.92,-1.62,-0.12,0.29,25.0
