season,player_id,abv,per,ts_percent,obpm,dbpm,usg_percent,gs,g,ast_per_game,tov_per_game,mp_per_game,w,l,playoffs,a2t_perc,team_win_perc,role,experience
2025,achiupr01,NYK,13.6,0.53,-2.1,0.2,14.9,10.0,57,1.0,0.8,20.5,51,31,True,1.25,0.62,R,4
2025,adebaba01,MIA,18.9,0.56,1.0,1.0,23.5,78.0,78,4.3,2.1,34.3,37,45,True,2.05,0.45,S,7
2025,agbajoc01,TOR,12.0,0.6,-0.9,0.2,14.6,45.0,64,1.5,0.8,27.2,30,52,False,1.88,0.37,S,2
2025,aldamsa01,MEM,16.8,0.59,2.5,0.7,18.5,16.0,65,2.9,1.1,25.5,48,34,True,2.64,0.59,R,3
2025,alexani01,MIN,11.6,0.58,-0.8,0.4,16.0,10.0,82,2.7,1.2,25.3,49,33,True,2.25,0.6,R,5
2025,allengr01,PHO,13.7,0.63,0.7,-1.0,17.6,7.0,64,2.1,1.2,24.1,36,46,False,1.75,0.44,R,6
2025,allenja01,CLE,22.1,0.72,3.0,1.2,15.9,82.0,82,1.9,1.2,28.0,64,18,True,1.58,0.78,S,7
2025,alvarjo01,NOP,13.4,0.52,-0.6,-0.8,19.8,23.0,56,4.6,1.5,24.4,21,61,False,3.07,0.26,R,3
2025,anderky01,GSW,14.8,0.52,-0.3,2.6,15.7,3.0,36,2.3,0.6,15.0,48,34,True,3.83,0.59,R,10
2025,anderky01,MIA,15.3,0.56,-1.0,1.7,16.1,1.0,25,2.6,0.7,18.4,37,45,True,3.71,0.45,B,10
2025,antetgi01,MIL,30.5,0.62,6.9,2.5,35.2,67.0,67,6.5,3.1,34.2,48,34,True,2.1,0.59,S,11
2025,anthoco01,ORL,14.2,0.53,-0.8,0.9,24.6,22.0,67,2.9,1.5,18.4,41,41,True,1.93,0.5,R,4
2025,anunoog01,NYK,15.4,0.59,0.7,0.1,19.7,74.0,74,2.2,1.4,36.6,51,31,True,1.57,0.62,S,7
2025,avdijde01,POR,17.7,0.6,1.5,0.6,23.2,54.0,72,3.9,2.7,30.0,36,46,False,1.44,0.44,S,4
2025,aytonde01,POR,17.7,0.58,-0.3,-0.4,19.4,40.0,40,1.6,1.7,30.2,36,46,False,0.94,0.44,S,6
2025,ballla01,CHO,19.1,0.54,4.1,-0.9,35.9,47.0,47,7.4,3.6,32.0,19,63,False,2.06,0.23,S,4
2025,balllo01,CHI,12.2,0.52,-1.5,1.7,15.9,14.0,35,3.3,1.2,22.2,39,43,True,2.75,0.48,R,7
2025,bambamo01,LAC,14.5,0.56,-2.6,2.4,16.5,2.0,28,0.6,0.7,12.6,50,32,True,0.86,0.61,B,6
2025,banchpa01,ORL,20.0,0.55,3.4,0.2,33.6,46.0,46,4.8,3.0,34.4,41,41,True,1.6,0.5,S,2
2025,banede01,MEM,17.9,0.6,2.6,0.6,23.3,68.0,69,5.3,2.4,32.0,48,34,True,2.21,0.59,S,4
2025,bantoda01,POR,12.9,0.5,-0.6,-0.2,24.1,7.0,67,2.4,1.3,16.7,36,46,False,1.85,0.44,R,3
2025,barneha02,SAS,14.9,0.66,1.7,-1.7,15.7,82.0,82,1.7,0.6,27.2,34,48,False,2.83,0.41,S,12
2025,barnesc01,TOR,17.8,0.52,1.5,0.9,27.0,65.0,65,5.8,2.8,32.8,30,52,False,2.07,0.37,S,3
2025,barrerj01,TOR,16.5,0.55,1.2,-0.7,28.7,58.0,58,5.4,2.8,32.2,30,52,False,1.93,0.37,S,5
2025,battlja01,TOR,10.7,0.59,-0.9,-1.3,15.3,10.0,59,0.9,0.5,17.7,30,52,False,1.8,0.37,R,0
2025,batumni01,LAC,10.3,0.63,-1.2,2.0,9.0,8.0,78,1.1,0.4,17.5,50,32,True,2.75,0.61,R,16
2025,baughda01,CHO,6.3,0.4,-5.9,-1.2,19.3,2.0,15,3.7,2.1,24.7,19,63,False,1.76,0.23,B,0
2025,bealbr01,PHO,15.2,0.6,-0.1,-1.0,22.1,38.0,53,3.7,1.9,32.1,36,46,False,1.95,0.44,S,12
2025,beaslma01,DET,14.4,0.59,2.0,-1.2,22.5,18.0,82,1.7,1.0,27.8,44,38,True,1.7,0.54,R,8
2025,biyombi01,SAS,12.2,0.58,-3.6,0.0,12.3,26.0,28,1.1,1.0,18.9,34,48,False,1.1,0.41,B,13
2025,blackan01,ORL,11.6,0.52,-3.1,1.2,19.6,10.0,78,3.1,1.8,24.2,41,41,True,1.72,0.5,R,1
2025,bogdabo01,ATL,7.6,0.5,-4.1,-0.6,18.9,0.0,24,2.0,1.5,24.9,40,42,True,1.33,0.49,B,7
2025,bogdabo01,LAC,14.0,0.61,0.1,0.1,18.6,4.0,30,3.2,1.2,25.0,50,32,True,2.67,0.61,R,7
2025,bonaad01,PHI,16.5,0.71,-2.9,0.2,14.3,11.0,58,0.5,1.1,15.6,24,58,False,0.45,0.29,R,0
2025,bookede01,PHO,19.3,0.59,2.8,-2.4,29.3,75.0,75,7.1,2.9,37.3,36,46,False,2.45,0.44,S,9
2025,bostobr01,NOP,12.7,0.54,-2.3,-0.2,20.0,10.0,42,2.2,1.2,23.6,21,61,False,1.83,0.26,R,3
2025,bouchch01,TOR,18.7,0.62,2.9,-0.6,21.2,0.0,50,0.7,0.6,17.2,30,52,False,1.17,0.37,R,7
2025,braunch01,DEN,16.0,0.66,0.8,-0.5,15.8,77.0,79,2.6,1.0,33.9,50,32,True,2.6,0.61,S,2
2025,bridgmi01,NYK,14.0,0.58,0.4,-0.9,19.6,82.0,82,3.7,1.6,37.0,51,31,True,2.31,0.62,S,6
2025,bridgmi02,CHO,17.7,0.54,2.3,-0.5,28.0,64.0,64,3.9,2.1,31.7,19,63,False,1.86,0.23,S,6
2025,brogdma01,WAS,15.8,0.54,-0.1,-1.5,23.7,13.0,24,4.1,1.6,23.5,18,64,False,2.56,0.22,B,8
2025,brookdi01,HOU,11.0,0.56,-1.4,0.0,17.7,75.0,75,1.7,1.0,31.8,52,30,True,1.7,0.63,S,7
