season,abv,w,l,games,win_pct,conference,division
2025,ATL,40,42,82,0.49,Eastern,Southeast
2025,BOS,61,21,82,0.74,Eastern,Atlantic
2025,BRK,26,56,82,0.32,Eastern,Atlantic
2025,CHI,39,43,82,0.48,Eastern,Central
2025,CHO,19,63,82,0.23,Eastern,Southeast
2025,CLE,64,18,82,0.78,Eastern,Central
2025,DAL,39,43,82,0.48,Western,Southwest
2025,DEN,50,32,82,0.61,Western,Northwest
2025,DET,44,38,82,0.54,Eastern,Central
2025,GSW,48,34,82,0.59,Western,Pacific
2025,HOU,52,30,82,0.63,Western,Southwest
2025,IND,50,32,82,0.61,Eastern,Central
2025,LAC,50,32,82,0.61,Western,Pacific
2025,LAL,50,32,82,0.61,Western,Pacific
2025,MEM,48,34,82,0.59,Western,Southwest
2025,MIA,37,45,82,0.45,Eastern,Southeast
2025,MIL,48,34,82,0.59,Eastern,Central
2025,MIN,49,33,82,0.6,Western,Northwest
2025,NOP,21,61,82,0.26,Western,Southwest
2025,NYK,51,31,82,0.62,Eastern,Atlantic
2025,OKC,68,14,82,0.83,Western,Northwest
2025,ORL,41,41,82,0.5,Eastern,Southeast
2025,PHI,24,58,82,0.29,Eastern,Atlantic
2025,PHO,36,46,82,0.44,Western,Pacific
2025,POR,36,46,82,0.44,Western,Northwest
2025,SAC,40,42,82,0.49,Western,Pacific
2025,SAS,34,48,82,0.41,Western,Southwest
2025,TOR,30,52,82,0.37,Eastern,Atlantic
2025,UTA,17,65,82,0.21,Western,Northwest
2025,WAS,18,64,82,0.22,Eastern,Southeast
2024,ATL,36,46,82,0.44,Eastern,Southeast
2024,BOS,64,18,82,0.78,Eastern,Atlantic
2024,BRK,32,50,82,0.39,Eastern,Atlantic
2024,CHI,39,43,82,0.48,Eastern,Central
2024,CHO,21,61,82,0.26,Eastern,Southeast
2024,CLE,48,34,82,0.59,Eastern,Central
2024,DAL,50,32,82,0.61,Western,Southwest
2024,DEN,57,25,82,0.7,Western,Northwest
2024,DET,14,68,82,0.17,Eastern,Central
2024,GSW,46,36,82,0.56,Western,Pacific
2024,HOU,41,41,82,0.5,Western,Southwest
2024,IND,47,35,82,0.57,Eastern,Central
2024,LAC,51,31,82,0.62,Western,Pacific
2024,LAL,47,35,82,0.57,Western,Pacific
2024,MEM,27,55,82,0.33,Western,Southwest
2024,MIA,46,36,82,0.56,Eastern,Southeast
2024,MIL,49,33,82,0.6,Eastern,Central
2024,MIN,56,26,82,0.68,Western,Northwest
2024,NOP,49,33,82,0.6,Western,Southwest
2024,NYK,50,32,82,0.61,Eastern,Atlantic
2024,OKC,57,25,82,0.7,Western,Northwest
2024,ORL,47,35,82,0.57,Eastern,Southeast
2024,PHI,47,35,82,0.57,Eastern,Atlantic
2024,PHO,49,33,82,0.6,Western,Pacific
2024,POR,21,61,82,0.26,Western,Northwest
2024,SAC,46,36,82,0.56,Western,Pacific
2024,SAS,22,60,82,0.27,Western,Southwest
2024,TOR,25,57,82,0.3,Eastern,Atlantic
