season,team,playoffs,per,obpm,dbpm,team_win_perc,rank
2000,LAL,1.0,11.62,-1.62,1.6,0.82,1.0
2000,POR,1.0,14.7,-0.08,0.7,0.72,2.0
2000,IND,1.0,13.46,-0.68,0.6,0.68,3.0
2000,UTA,1.0,13.0,-1.57,-0.07,0.67,4.0
2000,PHO,1.0,13.8,-0.52,1.3,0.65,5.0
2000,SAS,1.0,12.94,-0.96,1.24,0.65,6.0
2000,MIA,1.0,13.05,-1.65,0.27,0.63,7.0
2000,MIN,1.0,13.2,-1.17,-0.37,0.61,8.0
2000,NYK,1.0,13.73,-1.27,1.27,0.61,9.0
2000,CHH,1.0,14.27,-1.2,0.18,0.6,10.0
2000,PHI,1.0,13.44,-1.02,0.62,0.6,11.0
2000,SEA,1.0,14.55,-0.1,-0.65,0.55,12.0
2000,TOR,1.0,14.3,-0.02,-0.66,0.55,13.0
2000,SAC,1.0,13.98,-0.43,0.88,0.54,14.0
2001,SAS,1.0,12.82,-1.04,0.72,0.71,1.0
2001,LAL,1.0,11.22,-0.95,-0.6,0.68,2.0
2001,PHI,1.0,13.32,-1.0,0.42,0.68,3.0
2001,SAC,1.0,13.05,-1.12,0.85,0.67,4.0
2001,DAL,1.0,12.27,-0.95,0.8,0.65,5.0
2001,UTA,1.0,13.47,-1.07,0.13,0.65,6.0
2001,MIL,1.0,14.06,-0.26,-0.18,0.63,7.0
2001,PHO,1.0,13.03,-1.5,0.8,0.62,8.0
2001,MIA,1.0,10.63,-2.37,1.13,0.61,9.0
2001,POR,1.0,13.2,-1.47,0.17,0.61,10.0
2001,NYK,1.0,13.15,-1.55,1.1,0.59,11.0
2001,MIN,1.0,15.05,-0.25,-0.6,0.57,12.0
2001,TOR,1.0,16.57,-0.57,0.6,0.57,13.0
2001,CHH,1.0,15.85,0.45,0.35,0.56,14.0
2002,SAC,1.0,15.5,0.47,0.8,0.7399999999999999,1.0
2002,LAL,1.0,13.55,0.2,1.7,0.71,2.0
2002,SAS,1.0,13.62,-0.44,0.86,0.71,3.0
2002,DAL,1.0,12.45,-0.57,-0.15,0.7,4.0
2002,NJN,1.0,13.75,-1.12,0.75,0.63,5.0
2002,DET,1.0,16.27,-0.1,0.0,0.61,6.0
2002,MIN,1.0,13.8,-0.35,-0.45,0.61,7.0
2002,BOS,1.0,11.03,-2.63,0.17,0.6,8.0
2002,POR,1.0,15.47,-0.13,0.2,0.6,9.0
2002,SEA,1.0,12.22,-1.72,-0.18,0.55,10.0
2002,CHH,1.0,13.1,-1.8,0.77,0.54,11.0
2002,ORL,1.0,15.0,-0.3,-1.0,0.54,12.0
