season,team name,abv,conference,division
2000,Atlanta Hawks,ATL,Eastern,Central
2000,Boston Celtics,BOS,Eastern,Atlantic
2000,Charlotte Hornets,CHH,Eastern,Central
2000,Chicago Bulls,CHI,Eastern,Central
2000,Cleveland Cavaliers,CLE,Eastern,Central
2000,Dallas Mavericks,DAL,Western,Midwest
2000,Denver Nuggets,DEN,Western,Midwest
2000,Detroit Pistons,DET,Eastern,Central
2000,Golden State Warriors,GSW,Western,Pacific
2000,Houston Rockets,HOU,Western,Midwest
2000,Indiana Pacers,IND,Eastern,Central
2000,Los Angeles Clippers,LAC,Western,Pacific
2000,Los Angeles Lakers,LAL,Western,Pacific
2000,Miami Heat,MIA,Eastern,Atlantic
2000,Milwaukee Bucks,MIL,Eastern,Central
2000,Minnesota Timberwolves,MIN,Western,Midwest
2000,New Jersey Nets,NJN,Eastern,Atlantic
2000,New York Knicks,NYK,Eastern,Atlantic
2000,Orlando Magic,ORL,Eastern,Atlantic
2000,Philadelphia 76ers,PHI,Eastern,Atlantic
2000,Phoenix Suns,PHO,Western,Pacific
2000,Portland Trail Blazers,POR,Western,Pacific
2000,Sacramento Kings,SAC,Western,Pacific
2000,San Antonio Spurs,SAS,Western,Midwest
2000,Seattle SuperSonics,SEA,Western,Pacific
2000,Toronto Raptors,TOR,Eastern,Central
2000,Utah Jazz,UTA,Western,Midwest
2000,Vancouver Grizzlies,VAN,Western,Midwest
2001,Vancouver Grizzlies,VAN,Western,Midwest
2000,Washington Wizards,WAS,Eastern,Atlantic
2001,Atlanta Hawks,ATL,Eastern,Central
2001,Boston Celtics,BOS,Eastern,Atlantic
2001,Charlotte Hornets,CHH,Eastern,Central
2002,Charlotte Hornets,CHH,Eastern,Central
2001,Chicago Bulls,CHI,Eastern,Central
2001,Cleveland Cavaliers,CLE,Eastern,Central
2001,Dallas Mavericks,DAL,Western,Midwest
2001,Denver Nuggets,DEN,Western,Midwest
2001,Detroit Pistons,DET,Eastern,Central
2001,Golden State Warriors,GSW,Western,Pacific
2001,Houston Rockets,HOU,Western,Midwest
2001,Indiana Pacers,IND,Eastern,Central
2001,Los Angeles Clippers,LAC,Western,Pacific
2001,Los Angeles Lakers,LAL,Western,Pacific
2001,Memphis Grizzlies,MEM,Western,Midwest
2001,Miami Heat,MIA,Eastern,Atlantic
2001,Milwaukee Bucks,MIL,Eastern,Central
2001,Minnesota Timberwolves,MIN,Western,Midwest
2001,New Jersey Nets,NJN,Eastern,Atlantic
2001,New York Knicks,NYK,Eastern,Atlantic
2001,Orlando Magic,ORL,Eastern,Atlantic
2001,Philadelphia 76ers,PHI,Eastern,Atlantic
2001,Phoenix Suns,PHO,Western,Pacific
2001,Portland Trail Blazers,POR,Western,Pacific
2001,Sacramento Kings,SAC,Western,Pacific
2001,San Antonio Spurs,SAS,Western,Midwest
2001,Seattle SuperSonics,SEA,Western,Pacific
2001,Toronto Raptors,TOR,Eastern,Central
2001,Utah Jazz,UTA,Western,Midwest
2001,Washington Wizards,WAS,Eastern,Atlantic
2002,Atlanta Hawks,ATL,Eastern,Central
2002,Boston Celtics,BOS,Eastern,Atlantic
2002,Chicago Bulls,CHI,Eastern,Central
2002,Cleveland Cavaliers,CLE,Eastern,Central
2002,Dallas Mavericks,DAL,Western,Midwest
2002,Denver Nuggets,DEN,Western,Midwest
2002,Detroit Pistons,DET,Eastern,Central
2002,Golden State Warriors,GSW,Western,Pacific
2002,Houston Rockets,HOU,Western,Midwest
2002,Indiana Pacers,IND,Eastern,Central
2002,Los Angeles Clippers,LAC,Western,Pacific
2002,Los Angeles Lakers,LAL,Western,Pacific
2002,Memphis Grizzlies,MEM,Western,Midwest
2002,Miami Heat,MIA,Eastern,Atlantic
2002,Milwaukee Bucks,MIL,Eastern,Central
2002,Minnesota Timberwolves,MIN,Western,Midwest
2002,New Jersey Nets,NJN,Eastern,Atlantic
2002,New Orleans Hornets,NOH,Eastern,Central
2002,New York Knicks,NYK,Eastern,Atlantic
2002,Orlando Magic,ORL,Eastern,Atlantic
2002,Philadelphia 76ers,PHI,Eastern,Atlantic
2002,Phoenix Suns,PHO,Western,Pacific
2002,Portland Trail Blazers,POR,Western,Pacific
2002,Sacramento Kings,SAC,Western,Pacific
2002,San Antonio Spurs,SAS,Western,Midwest
2002,Seattle SuperSonics,SEA,Western,Pacific
2002,Toronto Raptors,TOR,Eastern,Central
2002,Utah Jazz,UTA,Western,Midwest
2002,Washington Wizards,WAS,Eastern,Atlantic
2003,Atlanta Hawks,ATL,Eastern,Central
2003,Boston Celtics,BOS,Eastern,Atlantic
2003,Chicago Bulls,CHI,Eastern,Central
2003,Cleveland Cavaliers,CLE,Eastern,Central
2003,Dallas Mavericks,DAL,Western,Midwest
2003,Denver Nuggets,DEN,Western,Midwest
2003,Detroit Pistons,DET,Eastern,Central
2003,Golden State Warriors,GSW,Western,Pacific
2003,Houston Rockets,HOU,Western,Midwest
2003,Indiana Pacers,IND,Eastern,Central
2003,Los Angeles Clippers,LAC,Western,Pacific
2003,Los Angeles Lakers,LAL,Western,Pacific
2003,Memphis Grizzlies,MEM,Western,Midwest
2003,Miami Heat,MIA,Eastern,Atlantic
2003,Milwaukee Bucks,MIL,Eastern,Central
2003,Minnesota Timberwolves,MIN,Western,Midwest
2003,New Jersey Nets,NJN,Eastern,Atlantic
2003,New Orleans Hornets,NOH,Eastern,Central
2003,New York Knicks,NYK,Eastern,Atlantic
2003,Orlando Magic,ORL,Eastern,Atlantic
2003,Philadelphia 76ers,PHI,Eastern,Atlantic
2003,Phoenix Suns,PHO,Western,Pacific
2003,Portland Trail Blazers,POR,Western,Pacific
2003,Sacramento Kings,SAC,Western,Pacific
2003,San Antonio Spurs,SAS,Western,Midwest
2003,Seattle SuperSonics,SEA,Western,Pacific
2003,Toronto Raptors,TOR,Eastern,Central
2003,Utah Jazz,UTA,Western,Midwest
2003,Washington Wizards,WAS,Eastern,Atlantic
2004,Atlanta Hawks,ATL,Eastern,Southeast
2004,Boston Celtics,BOS,Eastern,Atlantic
2004,Charlotte Bobcats,CHA,Eastern,Southeast
2004,Chicago Bulls,CHI,Eastern,Central
2004,Cleveland Cavaliers,CLE,Eastern,Central
2004,Dallas Mavericks,DAL,Western,Southwest
2004,Denver Nuggets,DEN,Western,Northwest
2004,Detroit Pistons,DET,Eastern,Central
2004,Golden State Warriors,GSW,Western,Pacific
2004,Houston Rockets,HOU,Western,Southwest
2004,Indiana Pacers,IND,Eastern,Central
2004,Los Angeles Clippers,LAC,Western,Pacific
2004,Los Angeles Lakers,LAL,Western,Pacific
2004,Memphis Grizzlies,MEM,Western,Southwest
2004,Miami Heat,MIA,Eastern,Southeast
2004,Milwaukee Bucks,MIL,Eastern,Central
2004,Minnesota Timberwolves,MIN,Western,Northwest
2004,New Jersey Nets,NJN,Eastern,Atlantic
2004,New Orleans Hornets,NOH,Western,Southwest
2004,New York Knicks,NYK,Eastern,Atlantic
2004,Orlando Magic,ORL,Eastern,Southeast
2004,Philadelphia 76ers,PHI,Eastern,Atlantic
2004,Phoenix Suns,PHO,Western,Pacific
2004,Portland Trail Blazers,POR,Western,Northwest
2004,Sacramento Kings,SAC,Western,Pacific
2004,San Antonio Spurs,SAS,Western,Southwest
2004,Seattle SuperSonics,SEA,Western,Northwest
2004,Toronto Raptors,TOR,Eastern,Atlantic
2004,Utah Jazz,UTA,Western,Northwest
2004,Washington Wizards,WAS,Eastern,Southeast
2005,Atlanta Hawks,ATL,Eastern,Southeast
2005,Boston Celtics,BOS,Eastern,Atlantic
2005,Charlotte Bobcats,CHA,Eastern,Southeast
2005,Chicago Bulls,CHI,Eastern,Central
2005,Cleveland Cavaliers,CLE,Eastern,Central
2005,Dallas Mavericks,DAL,Western,Southwest
2005,Denver Nuggets,DEN,Western,Northwest
2005,Detroit Pistons,DET,Eastern,Central
2005,Golden State Warriors,GSW,Western,Pacific
2005,Houston Rockets,HOU,Western,Southwest
